============================================================
 CATALYST — INVENTÁRIO COMPLETO DE PRODUTOS
============================================================

TOTAL DE REGISTROS: 419

001 | ID: 1       | Pão Tradicional com Gergelim | Pães | R$ 28,90 | 500 g1 unidade | CÓD: - | IMG: SIM
002 | ID: 2       | Pão de Limão Siciliano | Pães | R$ 28,90 | 500 g1 unidade | CÓD: - | IMG: SIM
003 | ID: 3       | Pão de Nozes com Castanha-do-Pará | Pães | R$ 28,90 | 500 g1 unidade | CÓD: - | IMG: SIM
004 | ID: 4       | Pão de Alecrim | Pães | R$ 28,90 | 500 g1 unidade | CÓD: - | IMG: SIM
005 | ID: 5       | Pão de Linhaça com Chia | Pães | SEM PREÇO | 500 g1 unidade | CÓD: - | IMG: SIM
006 | ID: 6       | Muffin de Cacau Vegano | Muffins | R$ 25,90 | 160 g1 embalagem | CÓD: - | IMG: SIM
007 | ID: 7       | Muffin de Frango, Milho e Cenoura | Muffins | R$ 27,90 | 200 g1 embalagem | CÓD: - | IMG: SIM
008 | ID: 8       | Muffin de Chocolate | Muffins | R$ 23,90 | 140 g1 embalagem | CÓD: - | IMG: SIM
009 | ID: 9       | Muffin de Banana | Muffins | R$ 23,90 | 160 g1 embalagem | CÓD: - | IMG: SIM
010 | ID: 10      | Muffin de Coco com Chocolate Branco Low Carb | Muffins | R$ 26,90 | 160 g1 embalagem | CÓD: - | IMG: SIM
011 | ID: 11      | Torta de Maçã | Tortas | R$ 32,00 | 200 g1 unidade | CÓD: - | IMG: SIM
012 | ID: 12      | Torta de Palmito | Tortas | R$ 28,90 | 200 g1 unidade | CÓD: - | IMG: SIM
013 | ID: 13      | Pão Francês com Sementes | Pães | R$ 27,90 | 350 g5 unidades | CÓD: - | IMG: SIM
014 | ID: 14      | Pão de Queijo com Goiabada | Pães | R$ 28,90 | 300 g | CÓD: - | IMG: SIM
015 | ID: 15      | Pão de Hot Dog sem Glúten | Pães | R$ 24,90 | 125 g2 unidades | CÓD: - | IMG: SIM
016 | ID: 16      | Bisnaguinha | Pães | R$ 24,90 | 150 g | CÓD: - | IMG: SIM
017 | ID: 17      | Pão de Hambúrguer | Pães | R$ 24,90 | 125 g2 unidades | CÓD: - | IMG: SIM
018 | ID: 18      | Pãozinho de Cebola | Pães | R$ 23,90 | 200 gaprox. 9 unidades | CÓD: - | IMG: SIM
019 | ID: 19      | Pãozinho de Cenoura | Pães | R$ 27,90 | 200 gaprox. 8 unidades | CÓD: - | IMG: SIM
020 | ID: 20      | Pão Sírio Tipo Pita | Pães | R$ 24,00 | 200 g4 unidades | CÓD: - | IMG: SIM
021 | ID: 21      | Wrap sem Glúten | Wraps e Massas | R$ 33,90 | 220 g6 unidades | CÓD: - | IMG: SIM
022 | ID: 22      | Wrap de Tapioca Original | Wraps e Massas | R$ 10,90 | 150 g5 unidades | CÓD: - | IMG: SIM
023 | ID: 23      | Chips de Batata-Doce com Sal Rosa do Himalaia | Snacks | R$ 9,90 | 50 g | CÓD: - | IMG: SIM
024 | ID: 24      | Chips de Mandioca com Chimi Churri | Snacks | R$ 9,99 | 50 g | CÓD: - | IMG: SIM
025 | ID: 25      | Chips de Mandioca com Lemon Pepper | Snacks | R$ 9,99 | 50 g | CÓD: - | IMG: SIM
026 | ID: 26      | Chips de Batata-Doce Sweet Chilli | Snacks | R$ 9,99 | 50 g | CÓD: - | IMG: SIM
